Geneid,shScramble,shDDX41,DMSO,CX5461
ENSG00000117601.15,5.5599188283497565,5.583512862475375,7.622576322990477,6.427637140751772
ENSG00000135870.12,30.67389822060373,34.50055366092025,14.57855189556043,12.29317197384505
ENSG00000152061.24,46.73864064661872,26.9065492896774,30.36565759998992,32.00680129701772
ENSG00000203737.5,3.0242162779993462,0.0,0.0,0.0
ENSG00000116161.18,216.85552412169764,171.9282400772956,325.4719411523618,270.49151741349186
ENSG00000120333.4,186.28192958029743,161.14160184268513,196.2205125105723,229.213777624833
ENSG00000120332.17,0.0,0.952918051995252,0.0,0.0
ENSG00000235750.10,9.032681217989236,10.078902492469185,3.302316891596378,2.9006617157630057
ENSG00000116147.18,0.0,0.0,0.0,0.0
ENSG00000143207.21,76.74138859714213,74.7665389467091,116.2036850656128,100.6355311780906
ENSG00000116183.11,0.437883045194487,0.0,0.2401327814729381,0.0
ENSG00000152092.16,6.239726314698357,13.576777879813234,2.566375060684697,7.213539953853146
ENSG00000198797.7,0.0,0.0,0.0,0.0
ENSG00000120341.19,0.0,0.0,0.0,0.0
ENSG00000075391.18,0.2371757957463298,0.714546820071395,0.6503298558331653,0.5483820899877949
ENSG00000188585.10,0.0,0.0,0.0,0.0
ENSG00000240021.10,0.0,0.0,0.0,0.0
ENSG00000116191.19,24.02338903859496,16.25837761848727,12.028710004986303,13.58444379340468
ENSG00000116194.13,1.329713772038623,0.0,0.0,0.0
ENSG00000116199.12,94.16687199199484,69.93151306617355,54.67830583311918,46.65565162759873
ENSG00000186283.14,74.19835843354474,117.7308972191826,93.58698467522706,78.05821031717399
ENSG00000143322.22,19.79595829178776,15.55823292040317,10.541333750000756,9.286848720872705
ENSG00000057252.13,38.24716181306468,39.09535055462148,46.443633908107344,60.40258452686551
ENSG00000162779.22,0.7857300298562925,0.0,0.4308902562610152,0.0
ENSG00000116218.13,0.0,0.0,0.0,0.0
ENSG00000162782.16,0.0,3.524165881290998,1.2829783718206955,0.6761591393174695
ENSG00000143340.7,0.0,0.0,0.0,0.0
ENSG00000169905.13,65.89958886769925,45.81639686738773,54.069490870694125,61.679998961610366
ENSG00000143337.19,96.86902481255792,109.56810987705168,124.69800549728278,124.9539783715668
ENSG00000135837.17,35.45478316500193,36.57189691242485,31.40827593800805,30.88017111448642
ENSG00000116260.17,121.20665002930323,102.0384567892984,71.84319272044242,60.81933370859464
ENSG00000121454.6,0.7862465327518432,1.5791660864946788,0.0,0.0
ENSG00000230124.8,89.16445969798924,88.90324570344094,99.1917170907912,79.51890708714394
ENSG00000143324.14,99.8408715621972,51.210391307663606,86.54382211261715,91.53144951682854
ENSG00000135835.12,0.9154822334089104,2.298417919135123,0.2510228444674054,0.0
ENSG00000135823.14,41.36504068249468,48.95853728555874,40.912886800633856,38.00041505372117
ENSG00000153029.16,23.817665198004804,16.28509799609384,14.728906983347745,18.45418127612884
ENSG00000162783.11,150.32824090381706,184.13298350958576,114.91528249195224,168.5231290718789
ENSG00000198216.14,0.4345817196652707,0.2182129538632055,0.119161175873073,0.1256013661462644
ENSG00000179930.6,0.0,0.0,0.0,0.0
ENSG00000135821.19,160.89031607159836,74.13352583804493,168.57389662471414,208.3199333421146
ENSG00000203730.3,3.750929166440584,5.6502698763152415,0.0,0.0
ENSG00000121446.20,0.0,0.0,0.0,0.0
ENSG00000135828.11,24.99557956856145,30.59263671971304,25.701460607738667,25.28448804396297
ENSG00000143333.7,7.947359056137817,5.985813311661205,22.88102416023246,17.226895015418087
ENSG00000135824.13,0.0,0.0,0.0,0.0
ENSG00000135838.14,64.4319156121131,91.74637542215191,61.70287841882989,95.610940970262
ENSG00000135829.17,210.905500079127,250.0875102026345,374.1139263960604,288.83390674160825
ENSG00000157060.16,0.0,0.0,0.0,0.0
ENSG00000135862.6,55.51295227041281,15.928150474601196,38.83037488712589,44.85818737079774
ENSG00000058085.15,0.0,0.0,0.0,0.0
ENSG00000157064.11,0.0,0.0,0.0,0.0
ENSG00000116698.22,54.073001595374144,43.90412097873808,41.00995553066393,48.21404082869127
ENSG00000116701.16,0.0,2.224872803037768,0.0,0.0
ENSG00000162704.16,106.91697804011284,106.01727814719382,106.42576646021362,103.608531553387
ENSG00000143344.16,0.0,0.0,0.0,0.0
ENSG00000173627.8,0.0,0.0,0.0,0.0
ENSG00000198756.12,19.61285227484485,0.0,77.30577468432797,38.61625748131195
ENSG00000198860.14,21.582648522366227,14.135371633304093,41.16804190053266,20.88288690254493
ENSG00000116667.15,0.0,0.0,0.2262972891472591,0.2385277626193246
ENSG00000116406.20,25.7553302745207,24.57139414972038,18.0788339043812,20.09804418465444
ENSG00000135842.17,58.009042656817705,25.955291334598165,135.43661839862287,59.426514704167175
ENSG00000121481.11,37.97071549043624,31.98154973685652,66.49907482513028,67.26104290368734
ENSG00000121486.12,82.75668760736103,91.90753050611433,125.47157733775556,114.8067031910712
ENSG00000116668.13,47.04336432443428,42.518697505841246,34.82775358902641,32.63116082369853
ENSG00000116679.16,113.63724099906752,143.4121697278819,88.97820852148826,81.49293587140357
ENSG00000143341.12,4.595633850915704,14.870993300244596,0.2800246299560619,0.0
ENSG00000116690.13,0.0,0.0,0.0,0.0
ENSG00000047410.14,263.04020996508353,229.53211034124985,303.5833288148565,296.4785364264282
ENSG00000157181.16,92.79658777112748,168.686381781706,112.08499731032606,98.45229009875403
ENSG00000116703.14,0.0,0.0,0.0,0.0
